	C5	C6	C8	C12	C16	C17	C18	C20	C25	C26	ds	batch
228	0.02558826172396874	0.1528061109508976	0.10375312142856451	0.0940358787014619	0.06576993704416514	0.05087055143925672	0.12836825541471328	0.1164067689439919	0.09907903261729004	0.16332208173569016	LUSC_IA3_BC3_10_2500	batch
3543	0.0033863373909320724	0.16331705201690472	0.11426393695287702	0.16575171053603302	0.16453636845501862	0.13279869057592603	0.011327876160938305	0.08559622544109935	0.15902180247027092	0.0	LUSC_IA3_BC3_10_2500	batch
1073	0.03302971117361246	0.07904105440311614	0.21980017714606054	0.18483231463344044	0.03775178327888726	0.14181546661171548	0.1518011666363831	0.028324129691351133	0.11773495836324482	0.0058692380621887	LUSC_IA3_BC3_10_2500	batch
1744	0.10867560317599555	0.12696769029060287	0.11282834931664755	0.050097338985508506	0.12505508096977042	0.1006773226666725	0.03850293972531246	0.14823722197690842	0.13206558948360353	0.05689286340897818	LUSC_IA3_BC3_10_2500	batch
333	0.2031642669332379	0.004697012018874545	0.008646139732974895	0.08832329060475351	0.10606483482829457	0.19088666570137097	0.09494407107150389	0.04653681095774243	0.1930485933828861	0.06368831476836122	LUSC_IA3_BC3_10_2500	batch
4684	0.0	0.9632784564380726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036721543561927306	LUSC_IA3_BC3_10_2500	batch
1755	0.13154381163214163	0.17136581032516637	0.07274541513010545	0.0281105356478082	0.1136295698784728	0.16631222429635706	0.12039963638868367	0.02325710148075022	0.09703847731461338	0.07559741790590115	LUSC_IA3_BC3_10_2500	batch
838	0.026316675546999277	0.19711699320625906	0.052367986159289504	0.1437531482047336	0.03355847705854691	0.19789123010608994	0.06023892259875874	0.17653953724425783	0.09933698512065206	0.012880044754413093	LUSC_IA3_BC3_10_2500	batch
168	0.08722801411466231	0.2222399770013165	0.09738212495152984	0.049123331752714175	0.08151511200151097	0.009024806586561114	0.06723987952446399	0.2078356502728437	0.10994123328573163	0.06846987050866579	LUSC_IA3_BC3_10_2500	batch
84	0.10637710760845133	0.0482874596196384	0.12167960972943337	0.0735204772933057	0.11755057953232517	0.09713690805478377	0.14931462963073586	0.1409655837516687	0.04016449751188078	0.10500314726777682	LUSC_IA3_BC3_10_2500	batch
2138	0.15351626006397476	0.03544318707580644	0.1602482430481625	0.13086403462946966	0.09073339058361334	0.09321761844363542	0.0032857414071409945	0.1625483352260752	0.10083219213290692	0.0693109973892147	LUSC_IA3_BC3_10_2500	batch
3849	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	LUSC_IA3_BC3_10_2500	batch
4153	0.0	0.17439808032115448	0.09607813893615026	0.0	0.15789941491946027	0.0	0.19501946717781915	0.16898108375078114	0.0	0.20762381489463466	LUSC_IA3_BC3_10_2500	batch
3601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	LUSC_IA3_BC3_10_2500	batch
2280	0.11930620692843528	0.09625118564431927	0.051449677182384926	0.0838778387186721	0.15082232185213734	0.022018953353889033	0.04363923413383501	0.12867093125801285	0.16390588125959518	0.14005776966871897	LUSC_IA3_BC3_10_2500	batch
2220	0.005762182322179271	0.00824643624864074	0.18639291386408055	0.01024186924425351	0.16344262963209424	0.19467837741555563	0.01979709557619926	0.1850141298121051	0.028387437250139112	0.1980369286347525	LUSC_IA3_BC3_10_2500	batch
2819	0.24312481958695872	0.0	0.06679444149719513	0.4583451275337129	0.23173561138213328	0.0	0.0	0.0	0.0	0.0	LUSC_IA3_BC3_10_2500	batch
3150	0.0	0.19828185020528102	0.12943300857713544	0.1971903540971395	0.13977398754966505	0.13986583304559874	0.07200575041309397	0.0870021335320482	0.030995723258062588	0.005451359321975454	LUSC_IA3_BC3_10_2500	batch
3698	0.14618309735741483	0.2001186250532684	0.08373534999769673	0.06713659834106293	0.11598582241597166	0.03076263516387527	0.0	0.09451750789929161	0.10632058327506654	0.15523978049635193	LUSC_IA3_BC3_10_2500	batch
